Element Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These columns are the actual data for each element.  Add new fields or edit values here.  The ""Included Fields"" worksheet should contain references to actual data in this spreadsheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic #,atomic symbol,Group #,Old Group #,Period,"English 
element name",atomic mass (rounded),atomic mass (NIST 2016),"Melting Point, ï¿½C","Boiling Point, ï¿½C",State at Room Temp.,density g/mL,electronegativity (Pauling),1st ionization potential (eV) ,2nd ionization potential (eV) ,3rd ionization potential (eV) ,1st ionization potential (kJ/mol) ,2nd ionization potential (kJ/mol) ,3rd ionization potential (kJ/mol) ,Electron Affinity (eV),Electron Affinity (kJ/mol),Predicted Electron Configuration,Observed Electron Configuration,atomic radius (ï¿½) ,ionic radius (ï¿½) ,covalent radius (ï¿½) ,"radius
(2- ion)
(pm)","radius
(1- ion)
(pm)","atomic radius
(pm)","radius
(1+ ion)
(pm)","radius
(2+ ion)
(pm)","radius
(3+ ion)
(pm)",atomic volume (cm^3/mol) ,crystal structure,CAS Registry No.,electrical conductivity (mho/cm) ,specific heat (J/g K) ,heat of fusion (kJ/mol) ,heat of vaporization (kJ/mol) ,thermal conductivity (W/(m K)) ,color,hydride(s),oxide(s),chloride(s),"polarizability
(A^3)","heat atomization
(kJ/mol)",van der Waals,Covalent (single bond),Covalent (triple bond),Metallic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Observed Electron Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,1,I A,1,hydrogen,1.008,1.007975,-259.1,-252.9,g,0.0000699,2.2,13.5984, ,,1312,,,0.75,72,1s1,1s1,0.79,1.54,0.32,,,37.1,,,,14.4,hexagonal,1333-74-0,,14.304,0.05868,0.44936,0.1815,colorless,H2,H2O,HCl,0.7,218,120,38,,
2,He,18,VIII A,1,helium,4.003,4.002602,-272.2,-268.9,g,0.000179,,24.5874,54.416,,2372,5250,,<0,<0,1s2,1s2,0.49,,0.93,,,31,,,,19.5,hexagonal,7440-59-7,,5.193,,0.0845,0.152,colorless,none,none,none,0.198,0,140,32,,
3,Li,1,I A,2,lithium,6.968,6.9675,180.5,1342,s,0.543,0.98,5.3917,76.638,122.451,520,7394,11815,0.62,60,[He] 2s1,[He] 2s1,2.05,0.76,1.23,,,152,90,,,13.1,cubic: body centered,7439-93-2,0.108,3.6,3,145.92,84.7,silvery,LiH,Li2O,LiCl,24.3,161,182,134,,152
4,Be,2,II A,2,beryllium,9.012,9.0121831,1278,2970,s,1.85,1.57,9.3226,18.211,153.893,899,1757,14848,<0,<0,[He] 2s2,[He] 2s2,1.4,0.45,0.9,,,112,,59,,5,hexagonal,7440-41-7,0.313,1.82,12.2,292.4,200,steel gray,BeH2,BeO,BeCl2,5.6,324,153,90,85,112
5,B,13,III A,2,boron,10.81,10.8135,2079,2550,s,2.34,2.04,8.298,25.154,37.93,801,2427,3660,0.28,27,[He] 2s2 2p1,[He] 2s2 2p1,1.17,0.23,0.82,,,85,,,41,4.6,rhombohedral,7440-42-8,1.00E-12,1.02,50.2,489.7,27,black,B2H6 and many BxHy,B2O3,BCl3 and many BxCly,3,573,192,82,73,
6,C,14,IV A,2,carbon,12.01,12.0106,3367,4827,s,2.25,2.55,11.2603,24.383,47.887,1086,2353,4620,1.26,122,[He] 2s2 2p2,[He] 2s2 2p2,0.91,0.16,0.77,,,77.2,,,,4.58,hexagonal,7440-44-0,0.00061,0.71,,355.8,129,black,CH4 and many CxHy,CO CO2,CCl4,1.8,717,170,77,60,
7,N,15,V A,2,nitrogen,14.01,14.006855,-209.9,-195.8,g,0.00125,3.04,14.5341,29.601,47.448,1402,2856,4578,<0,<0,[He] 2s2 2p3,[He] 2s2 2p3,0.75,1.71,0.75,,,70,,,30,17.3,hexagonal,77727-37-9,,1.04,0.3604,2.7928,0.02598,colorless,NH3 N2H4 HN3,N2O NO NO2 N2O5,NCl3,1.1,473,155,75,54,
8,O,16,VI A,2,oxygen,16,15.9994,-218.4,-183,g,0.00143,3.44,13.6181,35.117,54.934,1314,3388,5300,1.46,141,[He] 2s2 2p4,[He] 2s2 2p4,0.65,1.4,0.73,126,,73,,,,14,cubic,7782-44-7,,0.92,0.22259,3.4099,0.02674,colorless,H2O,O2 O3,Cl2O ClO2 Cl2O7,0.793,249,152,73,53,
9,F,17,VII A,2,fluorine,19,18.99840316,-219.8,-188.1,g,0.0017,3.98,17.4228,34.97,62.707,1681,3374,6050,3.4,328,[He] 2s2 2p5,[He] 2s2 2p5,0.57,1.33,0.72,,119,72,,,,12.6,cubic,7782-41-4,,0.82,0.2552,3.2698,0.0279,colorless,HF,OF2,ClF ClF3 ClF5,0.634,79,147,71,53,
10,Ne,18,VIII A,2,neon,20.18,20.1797,-248,-248.7,g,0.0009,,21.5645,40.962,63.45,2081,3952,6122,<0,<0,[He] 2s2 2p6,[He] 2s2 2p6,0.51,,0.71,,,71,,,,17.3,cubic: face centered,7440-01-09,,0.904,0.3317,1.7326,0.0493,colorless,none,none,none,0.396,0,154,69,,
11,Na,1,I A,3,sodium,22.99,22.98976928,97.8,883,s,0.971,0.93,5.1391,47.286,71.641,496,4562,6912,0.55,53,[Ne] 3s1,[Ne] 3s1,2.23,1.02,1.54,,,186,116,,,23.7,cubic: body centered,7440-23-5,0.21,1.23,2.598,96.96,141,silvery,NaH,Na2O,NaCl,23.6,109,227,154,,186
12,Mg,2,II A,3,magnesium,24.31,24.3055,649,1090,s,1.74,1.31,7.6462,15.035,80.143,738,1451,7733,<0,<0,[Ne] 3s2,[Ne] 3s2,1.72,0.72,1.36,,,160,,86,,13.97,hexagonal,7439-95-4,0.226,1.02,8.954,127.4,156,silvery,MgH2,MgO,MgCl2,10.6,148,173,130,127,160
13,Al,13,III A,3,aluminum,26.98,26.9815385,660,2467,s,2.7,1.61,5.9858,18.828,28.447,578,1817,2745,0.44,42,[Ne] 3s2 3p1,[Ne] 3s2 3p1,1.82,0.54,1.18,,,143,,,67.5,10,cubic: face centered,7429-90-5,0.377,0.9,10.79,293.4,237,silvery,AlH3,Al2O3,AlCl3Al2Cl6,8.3,326,184,118,111,143
14,Si,14,IV A,3,silicon,28.09,28.085,1410,2355,s,2.33,1.9,8.1517,16.345,33.492,787,1577,3231,1.39,134,[Ne] 3s2 3p2,[Ne] 3s2 3p2,1.46,0.26,1.11,,,117.6,,,,12.1,cubic: face centered,7440-21-3,2.52E-12,0.71,50.55,384.22,148,gray-black,SiH4 Si2H6 + more,SiO2,SiCl4 Si2Cl6 + more,5.4,452,210,111,102,
15,P,15,V A,3,phosphorus,30.97,30.973762,44.1,280,s,1.82,2.19,10.4867,19.725,30.18,1012,1903,2912,0.75,72,[Ne] 3s2 3p3,[Ne] 3s2 3p3,1.23,0.17,1.06,,,110,,,58,17,monoclinic,7723-14-0,1.00E-17,0.77,0.657,12.129,0.235,white-yellow,PH3 P2H4 + more,P4O10 P4O6,PCl3 PCl5 P2Cl4,3.6,315,180,106,94,
16,S,16,VI A,3,sulfur,32.07,32.0675,112.8,444.7,s,2.07,2.58,10.36,23.33,34.83,1000,2251,3361,2.08,201,[Ne] 3s2 3p4,[Ne] 3s2 3p4,1.09,0.29,1.02,170,,103,,,,15.5,orthorhombic,7704-34-9,5.00E-24,0.71,1.7175,,0.269,yellow(pale),H2S,SO2 SO3,S2Cl2 SCl2,2.9,279,180,102,95,
